id,1.BT,1.PS,10.BT,10.PS,11.BT,11.PS,12.BT,12.PS,13.BT,13.PS,14.BT,14.PS,15.BT,15.PS,2.BT,2.PS,3.BT,3.PS,4.BT,4.PS,5.BT,5.PS,6.BT,6.PS,7.BT,7.PS,8.BT,8.PS,9.BT
LizaZoop_000035382,0,0,5,1,4,8,9,0,7,9,0,0,2,0,1,0,7,3,189,76,1,1,2,0,0,0,0,0,0
LizaZoop_000035540,0,1,0,0,0,0,31,28,0,0,0,0,0,0,11,12,1,1,6,12,1,0,0,1,0,0,0,0,1
LizaZoop_000035635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000036707,0,0,2,0,0,0,18,6,3,7,29,19,176,119,27,22,2,0,15,25,1,1,56,59,5,10,0,0,0
LizaZoop_000036732,0,0,0,0,0,0,0,0,63,17,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
LizaZoop_000038268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000040742,45,48,0,1,5,0,21,9,5,5,14,10,109,231,2,18,1,2,1,3,15,28,104,109,0,1,3,4,32
LizaZoop_000041343,0,1,0,0,0,0,0,0,0,0,1,0,5,4,0,0,0,0,0,0,0,0,0,0,6,3,4,6,0
LizaZoop_000041580,126,124,1,1,3,1,1,0,3,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,5
LizaZoop_000042319,13,7,10,10,1,22,59,0,2,0,0,0,1,1,13,13,0,1,107,105,0,0,17,11,0,0,0,0,2
LizaZoop_000042457,2,2,0,0,1,2,2,2,5,1,0,0,1,0,0,0,1,0,2,0,2,6,2,1,0,0,0,0,1
LizaZoop_000043150,0,0,0,2,0,1,6,0,0,0,0,0,0,0,28,30,2,2,8,1,0,1,0,0,0,0,0,0,0
LizaZoop_000043361,1,0,4,1,0,1,0,0,1,0,410,69,0,0,0,0,2,0,1,2,0,0,0,0,170,357,0,1,1
LizaZoop_000043398,0,1,1,0,0,0,0,0,0,0,20,35,0,0,0,0,0,0,0,0,0,0,1,0,156,91,4,2,0
LizaZoop_000043647,2,0,0,0,0,0,14,9,0,0,0,0,0,0,15,13,0,0,11,6,0,0,0,0,0,0,0,0,0
LizaZoop_000044924,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,21,1,0,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000046586,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0
LizaZoop_000047075,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,13,1,1,0,0,0,0,0,1,0,0,1,0,1
LizaZoop_000047286,0,0,3,1,0,0,1,0,1,0,29,17,15,64,1,0,0,2,1,0,1,0,8,10,293,186,3,7,0
LizaZoop_000051025,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
