id,sample_10_381,sample_15_385,sample_17_385,sample_20_390,sample_22_390,sample_25_396,sample_27_396,sample_2_369,sample_31_398,sample_32_398,sample_33_,sample_34_398,sample_36_401,sample_37_400,sample_38_401,sample_39_400,sample_42_414,sample_43_414,sample_47_416,sample_48_416,sample_52_418,sample_54_418,sample_56_420,sample_59_420,sample_5_369,sample_62_424,sample_64_424,sample_8_381,sample_BL1,sample_BL2
JI01_000409127,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_000655607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_001024965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,14,0,0,0,0,12,45,0,0,0
JI01_000430983,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_000002176,36,0,0,8,7,0,0,0,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0
JI01_000004550,18,11,3,33,45,55,70,2943,984,992,369,29,178,31,8,46,350,55,1152,452,410,164,260,65,548,22790,2792,32,0,0
JI01_001022340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,0
JI01_000032879,31,3,0,0,0,3,0,0,28,0,0,0,7,0,0,0,6,0,14,6,60,40,25,24,0,21,0,26,0,0
JI01_000000500,1605,128,47,91,425,28,12,138,78,145,36,0,263,113,45,45,532,25,960,362,1095,372,730,133,15,483,29,1800,0,0
JI01_000000019,1736,41,33,156,329,169,29,971,804,1024,333,23,341,73,26,43,689,17,6547,789,4472,1213,322,71,45,2626,348,3887,0,4
JI01_000233310,0,0,0,0,1,1,0,66,18,27,28,0,1,11,0,6,0,0,15,4,36,6,6,0,32,8,4,0,0,0
JI01_000109127,0,0,0,35,26,1474,1299,11,43,51,49,0,29,2,0,9,0,0,8,5,36,10,6,0,12,32,0,0,0,0
JI01_000044130,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0
JI01_000012351,7,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
JI01_000561873,3,0,0,3,0,0,0,5,0,0,0,0,5,5,0,4,0,0,1,1,13,4,8,0,0,26,0,1,0,0
JI01_000000024,774,38,0,0,0,0,0,0,9,9,0,0,0,0,0,6,0,0,0,0,199,141,0,0,0,0,0,1300,0,0
JI01_000047755,11,0,0,4,12,18,13,0,20,16,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0
